City,Locality,BHK,Area_SqFt,Bathrooms,Balconies,Furnishing,Property_Age_Yrs,Price_Lakhs_INR
Mumbai,Bandra,2,1146,1,2,Semi-Furnished,4,150.45
Hyderabad,Gachibowli,2,1179,2,1,Semi-Furnished,10,64.88
Hyderabad,Hitech City,2,1241,2,3,Semi-Furnished,6,79.1
Chennai,Velachery,2,1212,1,0,Semi-Furnished,19,55.51
Pune,Kharadi,4,1979,3,2,Unfurnished,14,92.68
Delhi NCR,Gurgaon Sec 56,3,1563,3,2,Unfurnished,1,130.33
Pune,Kharadi,2,817,2,1,Unfurnished,14,37.81
Delhi NCR,Noida Sec 62,2,903,1,3,Fully Furnished,7,77.83
Mumbai,Andheri West,1,1040,1,2,Semi-Furnished,19,108.55
Delhi NCR,Noida Sec 62,3,1458,2,1,Semi-Furnished,4,119.95
Pune,Kharadi,3,1293,2,3,Semi-Furnished,16,58.23
Mumbai,Bandra,2,1303,2,2,Semi-Furnished,1,178.52
Bangalore,Whitefield,3,1820,3,3,Semi-Furnished,14,112.65
Pune,Kharadi,3,1353,3,1,Unfurnished,2,83.75
Bangalore,Whitefield,1,655,1,2,Semi-Furnished,17,30.42
Bangalore,Whitefield,3,1517,2,3,Semi-Furnished,3,105.85
Bangalore,Koramangala,3,1504,3,1,Unfurnished,17,85.95
Pune,Kharadi,1,524,1,3,Unfurnished,18,22.22
Chennai,Velachery,3,1425,3,1,Fully Furnished,5,78.61
Bangalore,Whitefield,4,1926,4,2,Unfurnished,14,116.15
Hyderabad,Hitech City,1,733,1,3,Unfurnished,3,41.51
Mumbai,Andheri West,2,1071,2,2,Semi-Furnished,9,134.41
Chennai,Velachery,2,1135,2,1,Fully Furnished,1,68.53
Hyderabad,Hitech City,3,1573,3,3,Unfurnished,10,91.88
Chennai,Velachery,2,1071,2,3,Unfurnished,7,54.98
Pune,Kharadi,2,1002,2,1,Semi-Furnished,15,51.51
Delhi NCR,Gurgaon Sec 56,2,971,2,1,Semi-Furnished,1,81.93
Bangalore,Whitefield,2,1044,1,3,Unfurnished,6,68.31
Bangalore,Whitefield,2,1098,2,1,Unfurnished,4,75.61
Hyderabad,Hitech City,4,1785,4,2,Fully Furnished,10,103.8
Delhi NCR,Gurgaon Sec 56,3,1432,2,1,Semi-Furnished,7,106.33
Pune,Kharadi,1,797,1,3,Fully Furnished,8,50.4
Hyderabad,Hitech City,3,1427,3,3,Fully Furnished,6,89.32
Hyderabad,Gachibowli,4,2018,3,3,Unfurnished,14,96.62
Chennai,Velachery,3,1336,2,1,Semi-Furnished,13,59.92
Delhi NCR,Gurgaon Sec 56,2,1289,2,3,Unfurnished,13,84.77
Bangalore,Koramangala,2,1753,3,3,Fully Furnished,15,103.54
Hyderabad,Hitech City,2,1139,2,2,Semi-Furnished,2,74.38
Hyderabad,Hitech City,2,1119,2,2,Fully Furnished,15,60.78
Hyderabad,Hitech City,2,1170,2,3,Semi-Furnished,3,75.81
Mumbai,Andheri West,2,1080,2,3,Semi-Furnished,18,110.22
Delhi NCR,Gurgaon Sec 56,3,1443,3,3,Unfurnished,2,121.87
Mumbai,Bandra,4,2130,3,3,Semi-Furnished,0,298.1
Pune,Kharadi,2,991,1,1,Semi-Furnished,17,43.84
Bangalore,Whitefield,1,713,1,3,Unfurnished,11,46.04
Mumbai,Bandra,2,1291,2,0,Fully Furnished,15,142.03
Pune,Kharadi,2,921,2,2,Unfurnished,14,46.41
Delhi NCR,Gurgaon Sec 56,2,1078,1,3,Unfurnished,10,82.43
Bangalore,Whitefield,1,652,1,3,Semi-Furnished,10,46.44
Bangalore,Koramangala,2,777,2,3,Unfurnished,11,46.11
Bangalore,Whitefield,3,1476,3,1,Unfurnished,7,97.53
Bangalore,Whitefield,2,1111,2,3,Semi-Furnished,19,63.32
Hyderabad,Hitech City,2,906,2,2,Unfurnished,9,50.33
Delhi NCR,Gurgaon Sec 56,3,1700,2,2,Unfurnished,2,144.3
Pune,Kharadi,3,1800,3,2,Semi-Furnished,14,91.51
Hyderabad,Gachibowli,3,1772,3,0,Unfurnished,12,97.84
Bangalore,Whitefield,3,1863,3,1,Semi-Furnished,16,113.04
Hyderabad,Hitech City,2,1056,1,2,Semi-Furnished,13,54.76
Hyderabad,Gachibowli,2,1279,1,3,Semi-Furnished,1,82.03
Delhi NCR,Noida Sec 62,3,1601,3,2,Unfurnished,0,137.83
Hyderabad,Gachibowli,2,915,2,2,Semi-Furnished,0,66.89
Chennai,Velachery,2,958,2,3,Semi-Furnished,9,47.35
Bangalore,Koramangala,1,590,1,3,Unfurnished,2,42.25
Bangalore,Koramangala,2,833,2,2,Fully Furnished,15,54.91
Mumbai,Bandra,2,1097,1,2,Unfurnished,18,111.82
Bangalore,Whitefield,3,1555,3,2,Unfurnished,13,87.31
Bangalore,Whitefield,3,1983,3,2,Unfurnished,15,113.6
Bangalore,Whitefield,3,1596,3,2,Unfurnished,0,118.34
Delhi NCR,Gurgaon Sec 56,3,1758,3,2,Unfurnished,19,105.73
Delhi NCR,Noida Sec 62,3,1634,3,1,Semi-Furnished,8,121.21
